Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S324705543,House Sparrow,Passer domesticus,31534,4,US-MA,Middlesex,L207370,"Fresh Pond, Cambridge",42.383,-71.15,1979-10-14,08:00 AM,Historical,,1,,,,,,Brookline Bird Club field card data. Trip Leader: James Barton,
S325111531,Northern Shoveler,Spatula clypeata,501,6,US-MA,Essex,L830335,Plum Island (please use more refined location),42.7987508,-70.8114526,1979-11-18,09:00 AM,Historical,,1,,,31,,,Brookline Bird Club field card data. Trip Leaders: Paul M. and Julie S. Roberts,
S325118131,Razorbill,Alca torda,6412,5,US-MA,Essex,L10491583,Newburyport & vicinity,42.8113735,-70.8755356,1979-11-24,09:00 AM,Historical,,1,,,,,3 in close,Brookline Bird Club field card data. Trip Leader: Herman H. D'Entremont,
S325185018,Lucy's Warbler,Leiothlypis luciae,33980,1,US-MA,Essex,L111987,Essex,42.65736,-70.92672,1979-12-01,,Historical,,1,,,24,,"Clark's Pond Herman Weissberg found our group at Pebble Beach in late morning to tell us about the warbler, and half the group led by Ida as guide went to Clark's Pond. Other half after lunch stop also saw the bird. A great sight!","Brookline Bird Club field card data. Trip Leader: Virginia Albee. Eastern Point, Gloucester to Rockport, over to Ipswich at noon, Clark's Pond and Argilla Road Pond. 12 seals - end of Plum.",
S84688320,Pacific Loon,Gavia pacifica,6931,1,US-MA,Essex,L10491583,Newburyport & vicinity,42.8113735,-70.8755356,1980-01-01,08:00 AM,eBird - Traveling Count,360,1,24.14,,23,,,"BBC Trip, Leader: ANN BLAISDELL",
S325970856,European Starling,Sturnus vulgaris,27813,16,US-MA,Essex,L374648,Halibut Point SP,42.6910153,-70.6317011,1980-03-07,09:00 AM,Historical,0,1,,,18,,,Brookline Bird Club field card data. Trip Leader: John Nove,
S100344647,Greater Scaup,Aythya marila,694,X,US-MA,Essex,L10491583,Newburyport & vicinity,42.8113735,-70.8755356,1980-04-12,09:00 AM,eBird - Traveling Count,420,1,24.14,,1,,,"BBC Trip, Leader: PERSIS CAMPBELL",
S100344631,Yellow-rumped Warbler,Setophaga coronata,34159,1,US-MA,Middlesex,L207391,Mount Auburn Cemetery,42.371,-71.146,1980-04-24,06:00 AM,eBird - Traveling Count,120,1,3.219,,6,,,"BBC Trip, Leader: FRED BOUCHARD",
S102525823,wren sp.,Troglodytidae sp.,27646,X,US-MA,Middlesex,L207391,Mount Auburn Cemetery,42.371,-71.146,1980-05-07,07:00 AM,eBird - Traveling Count,120,1,3.219,,2,,,"BBC Trip, Leader: MICHAEL GREENWOOD",
S102525452,Ash-throated Flycatcher,Myiarchus cinerascens,17323,1,US-MA,Essex,L10491583,Newburyport & vicinity,42.8113735,-70.8755356,1980-05-24,08:00 AM,eBird - Traveling Count,240,1,24.14,,1,, Rowley gravel pit,"BBC Trip, Leader: HERMAN WEISSBERG",
S102412350,Turkey Vulture,Cathartes aura,7815,1,US-MA,Berkshire,L207392,Mount Greylock State Reservation,42.6313066,-73.16607,1980-06-09,07:00 AM,eBird - Traveling Count,720,1,8.047,,10,,,"BBC Trip, Leader: PAUL AND JULIE ROBERTS. Weekend trip to Berkshires 6/8 - 6/10. Fri evening to Sun morning on Greylock, with a visit to Pleasant Valley and Pittsfield on Saturday, and Hawk Road, Deerfield on Sunday - see separate checklists",
S102412347,Hooded Merganser,Lophodytes cucullatus,754,1,US-MA,Essex,L10491583,Newburyport & vicinity,42.8113735,-70.8755356,1980-06-15,07:00 AM,eBird - Traveling Count,360,1,24.14,,12,,,"BBC Trip, Leader: RICK HEIL. Breeding Bird count",
S102412345,Sora,Porzana carolina,5455,1,US-MA,Middlesex,L109121,Great Meadows NWR,42.3517864,-71.3696953,1980-06-22,08:00 AM,eBird - Traveling Count,180,1,1.609,,1,,,"BBC Trip, Leader: C TURIN. Excellent view of a Sora feeding 30 feet from dike",
S130241361,Boat-tailed Grackle,Quiscalus major,33858,X,US-VA,Accomack,L718378,Chincoteague NWR* (general area),37.9106228,-75.3479719,1980-09-08,07:00 AM,eBird - Traveling Count,720,1,32.186,,8,,,"BBC Trip, Leader: ROBERT STYMEIST",
S130241361,Brown-headed Nuthatch,Sitta pusilla,26932,X,US-VA,Accomack,L718378,Chincoteague NWR* (general area),37.9106228,-75.3479719,1980-09-08,07:00 AM,eBird - Traveling Count,720,1,32.186,,8,,,"BBC Trip, Leader: ROBERT STYMEIST",
S102157963,Sharp-shinned Hawk,Accipiter striatus,8256,2,US-MA,Barnstable,L111983,Barnstable,41.80615,-69.97195,1980-10-05,09:00 AM,eBird - Traveling Count,360,1,64.372,,1,,,"BBC Trip, Leader: ROBERT TIMBERLAKE. OUTER CAPE COD. Orleans to Provincetown",
S72016092,American Wigeon,Mareca americana,517,2,US-MA,Essex,L6528498,Cape Ann,42.6588561,-70.6397724,1981-02-22,09:00 AM,eBird - Traveling Count,180,1,24.14,,17,,,"BBC Trip, Leader: Mr. and Mrs. Alden Clayton, Manchester to Cape Ann, Folly Cove",
S72016327,Northern Bobwhite,Colinus virginianus,1026,3,US-MA,Nantucket,L11342430,Nantucket & ocean,41.2692978,-70.0633192,1981-02-28,09:00 AM,eBird - Traveling Count,600,1,48.279,,16,,,"BBC Trip, Leader: Craig Jackson, weekend trip to Nantucket.",
S104060439,Golden-winged x Blue-winged Warbler (hybrid),Vermivora chrysoptera x cyanoptera,33958,2,US-MA,Essex,L10491583,Newburyport & vicinity,42.8113735,-70.8755356,1981-05-09,08:00 AM,eBird - Traveling Count,360,1,24.14,,1,,,"BBC Trip, Leader: GLENN D'ENTREMONT",
S72115212,Sandwich Tern,Thalasseus sandvicensis,6775,1,US-MA,Plymouth,L269491,Plymouth Beach,41.9765658,-70.6505452,1981-05-30,08:30 AM,eBird - Traveling Count,480,1,6.437,,1,,,"BBC trip, Leader: Herman D'Entremont",
S72153890,Black-and-white Warbler,Mniotilta varia,33962,2,US-MA,Berkshire,L207392,Mount Greylock State Reservation,42.6313066,-73.16607,1981-06-06,06:00 AM,eBird - Traveling Count,720,1,16.093,,18,,,"BBC Trip, Leader: Paul M. and Julie S. Roberts, Mt. Greylock only, weekend trip 06/05 - 06/07/1981. Poor weather, wet and windy, poorest birding in 5 years, no evening thrush chorus in bad weather",
S72153985,American White Pelican,Pelecanus erythrorhynchos,7791,1,US-MA,Essex,L10491583,Newburyport & vicinity,42.8113735,-70.8755356,1981-06-07,08:00 AM,eBird - Traveling Count,480,1,16.093,,8,,Plum Island at Helcat Swamp impoundments,"BBC Trip, Leader: David and Dennis Oliver, all day trip, weather sunny but very windy, contributing to low # of species,",
S72154007,Glossy Ibis,Plegadis falcinellus,7467,25,US-MA,Essex,L830335,Plum Island (please use more refined location),42.7987508,-70.8114526,1981-07-27,05:30 PM,eBird - Traveling Count,180,1,9.656,,1,,,"BBC Trip, Leader: Persis Campbell; evening walk",
S75026449,new world oriole sp.,Icterus sp.,33777,1,US-MA,Essex,L10491583,Newburyport & vicinity,42.8113735,-70.8755356,1981-10-03,09:00 AM,eBird - Traveling Count,480,1,16.093,,7,,female,"BBC Trip, Leader: Dick McHale, conditions were halfway between terrible and awful, rain, 45 df",
